date,host,stadium,match_type,team_1,team_2,team_1_score,team_2_score,winner,margin,margin_type,winning_condition,series,season,season_winner
2019-05-30,England,The Oval,1st match,England,South Africa,311 for 8,207,England,104,runs,,ICC Cricket World Cup,2019,England
2019-05-31,England,Nottingham,2nd match,Pakistan,West Indies,105,108 for 3,West Indies,7,wickets,with 218 balls remaining,ICC Cricket World Cup,2019,England
2019-06-01,England,Cardiff,3rd match,Sri Lanka,New Zealand,136,137 for 0,New Zealand,10,wickets,with 203 balls remaining,ICC Cricket World Cup,2019,England
2019-06-01,England,Bristol,4th match (D/N),Afghanistan,Australia,207,209 for 3,Australia,7,wickets,with 91 balls remaining,ICC Cricket World Cup,2019,England
2019-06-02,England,The Oval,5th match,Bangladesh,South Africa,330 for 6,309 for 8,Bangladesh,21,runs,,ICC Cricket World Cup,2019,England
2019-06-03,England,Nottingham,6th match,Pakistan,England,348 for 8,334 for 9,Pakistan,14,runs,,ICC Cricket World Cup,2019,England
2019-06-04,England,Cardiff,7th match,Sri Lanka,Afghanistan,201,152,Sri Lanka,34,runs,D/L method,ICC Cricket World Cup,2019,England
2019-06-05,England,Southampton,8th match,South Africa,India,227 for 9,230 for 4,India,6,wickets,with 15 balls remaining,ICC Cricket World Cup,2019,England
2019-06-05,England,The Oval,9th match (D/N),Bangladesh,New Zealand,244,248 for 8,New Zealand,2,wickets,with 17 balls remaining,ICC Cricket World Cup,2019,England
2019-06-06,England,Nottingham,10th match,Australia,West Indies,288,273 for 9,Australia,15,runs,,ICC Cricket World Cup,2019,England
2019-06-07,England,Bristol,11th match,Pakistan,Sri Lanka,,,Match abandoned without a ball bowled,Match abandoned without a ball bowled,Match abandoned without a ball bowled,,ICC Cricket World Cup,2019,England
2019-06-08,England,Cardiff,12th match,England,Bangladesh,386 for 6,280,England,106,runs,,ICC Cricket World Cup,2019,England
2019-06-08,England,Taunton,13th match (D/N),Afghanistan,New Zealand,172,173 for 3,New Zealand,7,wickets,with 107 balls remaining,ICC Cricket World Cup,2019,England
2019-06-09,England,The Oval,14th match,India,Australia,352 for 5,316,India,36,runs,,ICC Cricket World Cup,2019,England
2019-06-10,England,Southampton,15th match,South Africa,West Indies,29 for 2,,No result,No result,No result,,ICC Cricket World Cup,2019,England
2019-06-11,England,Bristol,16th match,Bangladesh,Sri Lanka,,,Match abandoned without a ball bowled,Match abandoned without a ball bowled,Match abandoned without a ball bowled,,ICC Cricket World Cup,2019,England
2019-06-12,England,Taunton,17th match,Australia,Pakistan,307,266,Australia,41,runs,,ICC Cricket World Cup,2019,England
2019-06-13,England,Nottingham,18th match,India,New Zealand,,,Match abandoned without a ball bowled,Match abandoned without a ball bowled,Match abandoned without a ball bowled,,ICC Cricket World Cup,2019,England
2019-06-14,England,Southampton,19th match,West Indies,England,212,213 for 2,England,8,wickets,with 101 balls remaining,ICC Cricket World Cup,2019,England
2019-06-15,England,The Oval,20th match,Australia,Sri Lanka,334 for 7,247,Australia,87,runs,,ICC Cricket World Cup,2019,England
2019-06-15,England,Cardiff,21st match (D/N),Afghanistan,South Africa,125,131 for 1,South Africa,9,wickets,D/L method,ICC Cricket World Cup,2019,England
2019-06-16,England,Manchester,22nd match,India,Pakistan,336 for 5,212 for 6,India,89,runs,D/L method,ICC Cricket World Cup,2019,England
2019-06-17,England,Taunton,23rd match,West Indies,Bangladesh,321 for 8,322 for 3,Bangladesh,7,wickets,with 51 balls remaining,ICC Cricket World Cup,2019,England
2019-06-18,England,Manchester,24th match,England,Afghanistan,397 for 6,247 for 8,England,150,runs,,ICC Cricket World Cup,2019,England
2019-06-19,England,Birmingham,25th match,South Africa,New Zealand,241 for 6,245 for 6,New Zealand,4,wickets,with 3 balls remaining,ICC Cricket World Cup,2019,England
2019-06-20,England,Nottingham,26th match,Australia,Bangladesh,381 for 5,333 for 8,Australia,48,runs,,ICC Cricket World Cup,2019,England
2019-06-21,England,Leeds,27th match,Sri Lanka,England,232 for 9,212,Sri Lanka,20,runs,,ICC Cricket World Cup,2019,England
2019-06-22,England,Southampton,28th match,India,Afghanistan,224 for 8,213,India,11,runs,,ICC Cricket World Cup,2019,England
2019-06-22,England,Manchester,29th match (D/N),New Zealand,West Indies,291 for 8,286,New Zealand,5,runs,,ICC Cricket World Cup,2019,England
2019-06-23,England,Lord's,30th match,Pakistan,South Africa,308 for 7,259 for 9,Pakistan,49,runs,,ICC Cricket World Cup,2019,England
2019-06-24,England,Southampton,31st match,Bangladesh,Afghanistan,262 for 7,200,Bangladesh,62,runs,,ICC Cricket World Cup,2019,England
2019-06-25,England,Lord's,32nd match,Australia,England,285 for 7,221,Australia,64,runs,,ICC Cricket World Cup,2019,England
2019-06-26,England,Birmingham,33rd match,New Zealand,Pakistan,237 for 6,241 for 4,Pakistan,6,wickets,with 5 balls remaining,ICC Cricket World Cup,2019,England
2019-06-27,England,Manchester,34th match,India,West Indies,268 for 7,143,India,125,runs,,ICC Cricket World Cup,2019,England
2019-06-28,England,Chester-le-Street,35th match,Sri Lanka,South Africa,203,206 for 1,South Africa,9,wickets,with 76 balls remaining,ICC Cricket World Cup,2019,England
2019-06-29,England,Leeds,36th match,Afghanistan,Pakistan,227 for 9,230 for 7,Pakistan,3,wickets,with 2 balls remaining,ICC Cricket World Cup,2019,England
2019-06-29,England,Lord's,37th match (D/N),Australia,New Zealand,243 for 9,157,Australia,86,runs,,ICC Cricket World Cup,2019,England
2019-06-30,England,Birmingham,38th match,England,India,337 for 7,306 for 5,England,31,runs,,ICC Cricket World Cup,2019,England
1979-06-09,England,Birmingham,1st Match,India,West Indies,190,194 for 1,West Indies,9,wickets,with 51 balls remaining,Prudential World Cup,1979,West Indies
1979-06-09,England,Nottingham,2nd Match,Sri Lanka,New Zealand,189,190 for 1,New Zealand,9,wickets,with 74 balls remaining,Prudential World Cup,1979,West Indies
1979-06-09,England,Lord's,3rd Match,Australia,England,159 for 9,160 for 4,England,6,wickets,with 77 balls remaining,Prudential World Cup,1979,West Indies
1979-06-09,England,Leeds,4th Match,Canada,Pakistan,139 for 9,140 for 2,Pakistan,8,wickets,with 119 balls remaining,Prudential World Cup,1979,West Indies
1979-06-13,England,The Oval,5th Match,Sri Lanka,West Indies,,,Match abandoned without a ball bowled,Match abandoned without a ball bowled,Match abandoned without a ball bowled,,Prudential World Cup,1979,West Indies
1979-06-13,England,Leeds,6th Match,India,New Zealand,182,183 for 2,New Zealand,8,wickets,with 18 balls remaining,Prudential World Cup,1979,West Indies
2019-07-01,England,Chester-le-Street,39th match,Sri Lanka,West Indies,338 for 6,315 for 9,Sri Lanka,23,runs,,ICC Cricket World Cup,2019,England
2019-07-02,England,Birmingham,40th match,India,Bangladesh,314 for 9,286,India,28,runs,,ICC Cricket World Cup,2019,England
2019-07-03,England,Chester-le-Street,41st match,England,New Zealand,305 for 8,186,England,119,runs,,ICC Cricket World Cup,2019,England
2019-07-04,England,Leeds,42nd match,West Indies,Afghanistan,311 for 6,288,West Indies,23,runs,,ICC Cricket World Cup,2019,England
2019-07-05,England,Lord's,43rd match,Pakistan,Bangladesh,315 for 9,221,Pakistan,94,runs,,ICC Cricket World Cup,2019,England
2019-07-06,England,Leeds,44th match,Sri Lanka,India,264 for 7,265 for 3,India,7,wickets,with 39 balls remaining,ICC Cricket World Cup,2019,England
2019-07-06,England,Manchester,45th match (D/N),South Africa,Australia,325 for 6,315,South Africa,10,runs,,ICC Cricket World Cup,2019,England
2019-07-09,England,Manchester,1st Semi-final,New Zealand,India,239 for 8,221,New Zealand,18,runs,,ICC Cricket World Cup,2019,England
2019-07-11,England,Birmingham,2nd Semi-final,Australia,England,223,226 for 2,England,8,wickets,with 107 balls remaining,ICC Cricket World Cup,2019,England
2019-07-14,England,Lord's,Final,New Zealand,England,241 for 8,241,Match tied,Match tied,Match tied,,ICC Cricket World Cup,2019,England
1979-06-13,England,Nottingham,7th Match,Pakistan,Australia,286 for 7,197,Pakistan,89,runs,,Prudential World Cup,1979,West Indies
1979-06-13,England,Manchester,8th Match,Canada,England,45,46 for 2,England,8,wickets,with 277 balls remaining,Prudential World Cup,1979,West Indies
1979-06-16,England,Manchester,9th Match,Sri Lanka,India,238 for 5,191,Sri Lanka,47,runs,,Prudential World Cup,1979,West Indies
1979-06-16,England,Nottingham,10th Match,West Indies,New Zealand,244 for 7,212 for 9,West Indies,32,runs,,Prudential World Cup,1979,West Indies
1979-06-16,England,Birmingham,11th Match,Canada,Australia,105,106 for 3,Australia,7,wickets,with 204 balls remaining,Prudential World Cup,1979,West Indies
1979-06-16,England,Leeds,12th Match,England,Pakistan,165 for 9,151,England,14,runs,,Prudential World Cup,1979,West Indies
1979-06-20,England,Manchester,1st SF,England,New Zealand,221 for 8,212 for 9,England,9,runs,,Prudential World Cup,1979,West Indies
1979-06-20,England,The Oval,2nd SF,West Indies,Pakistan,293 for 6,250,West Indies,43,runs,,Prudential World Cup,1979,West Indies
1979-06-23,England,Lord's,Final,West Indies,England,286 for 9,194,West Indies,92,runs,,Prudential World Cup,1979,West Indies
1983-06-09,England,The Oval,1st Match,England,New Zealand,322 for 6,216,England,106,runs,,Prudential World Cup,1983,India
1983-06-09,England,Swansea,2nd Match,Pakistan,Sri Lanka,338 for 5,288 for 9,Pakistan,50,runs,,Prudential World Cup,1983,India
1983-06-09,England,Nottingham,3rd Match,Zimbabwe,Australia,239 for 6,226 for 7,Zimbabwe,13,runs,,Prudential World Cup,1983,India
1983-06-09,England,Manchester,4th Match,India,West Indies,262 for 8,228,India,34,runs,,Prudential World Cup,1983,India
1983-06-11,England,Taunton,5th Match,England,Sri Lanka,333 for 9,286,England,47,runs,,Prudential World Cup,1983,India
1983-06-11,England,Birmingham,6th Match,New Zealand,Pakistan,238 for 9,186,New Zealand,52,runs,,Prudential World Cup,1983,India
1983-06-11,England,Leeds,7th Match,West Indies,Australia,252 for 9,151,West Indies,101,runs,,Prudential World Cup,1983,India
1983-06-11,England,Leicester,8th Match,Zimbabwe,India,155,157 for 5,India,5,wickets,with 135 balls remaining,Prudential World Cup,1983,India
1983-06-13,England,Worcester,12th Match,Zimbabwe,West Indies,217 for 7,218 for 2,West Indies,8,wickets,with 69 balls remaining,Prudential World Cup,1983,India
1983-06-13,England,Lord's,9th Match,Pakistan,England,193 for 8,199 for 2,England,8,wickets,with 56 balls remaining,Prudential World Cup,1983,India
1983-06-13,England,Bristol,10th Match,Sri Lanka,New Zealand,206,209 for 5,New Zealand,5,wickets,with 124 balls remaining,Prudential World Cup,1983,India
1983-06-13,England,Nottingham,11th Match,Australia,India,320 for 9,158,Australia,162,runs,,Prudential World Cup,1983,India
1983-06-15,England,Birmingham,13th Match,England,New Zealand,234,238 for 8,New Zealand,2,wickets,with 1 ball remaining,Prudential World Cup,1983,India
1983-06-15,England,The Oval,14th Match,West Indies,India,282 for 9,216,West Indies,66,runs,,Prudential World Cup,1983,India
1983-06-16,England,Leeds,15th Match,Pakistan,Sri Lanka,235 for 7,224,Pakistan,11,runs,,Prudential World Cup,1983,India
1983-06-16,England,Southampton,16th Match,Australia,Zimbabwe,272 for 7,240,Australia,32,runs,,Prudential World Cup,1983,India
1983-06-18,England,Manchester,17th Match,Pakistan,England,232 for 8,233 for 3,England,7,wickets,with 16 balls remaining,Prudential World Cup,1983,India
1983-06-18,England,Derby,18th Match,New Zealand,Sri Lanka,181,184 for 7,Sri Lanka,3,wickets,with 43 balls remaining,Prudential World Cup,1983,India
1983-06-18,England,Lord's,19th Match,Australia,West Indies,273 for 6,276 for 3,West Indies,7,wickets,with 13 balls remaining,Prudential World Cup,1983,India
1983-06-18,England,Tunbridge Wells,20th Match,India,Zimbabwe,266 for 8,235,India,31,runs,,Prudential World Cup,1983,India
1983-06-20,England,Chelmsford,23rd Match,India,Australia,247,129,India,118,runs,,Prudential World Cup,1983,India
1983-06-20,England,Birmingham,24th Match,Zimbabwe,West Indies,171,172 for 0,West Indies,10,wickets,with 89 balls remaining,Prudential World Cup,1983,India
1983-06-20,England,Leeds,21st Match,Sri Lanka,England,136,137 for 1,England,9,wickets,with 215 balls remaining,Prudential World Cup,1983,India
1983-06-20,England,Nottingham,22nd Match,Pakistan,New Zealand,261 for 3,250,Pakistan,11,runs,,Prudential World Cup,1983,India
1983-06-22,England,Manchester,1st SF,England,India,213,217 for 4,India,6,wickets,with 32 balls remaining,Prudential World Cup,1983,India
1983-06-22,England,The Oval,2nd SF,Pakistan,West Indies,184 for 8,188 for 2,West Indies,8,wickets,with 68 balls remaining,Prudential World Cup,1983,India
1983-06-25,England,Lord's,Final,India,West Indies,183,140,India,43,runs,,Prudential World Cup,1983,India
2011-02-19,Bangladesh/India/Sri Lanka,Mirpur,1st Match,India,Bangladesh,370 for 4,283 for 9,India,87,runs,,ICC Cricket World Cup,2010/11,India
2011-02-20,Bangladesh/India/Sri Lanka,Chennai,2nd Match,Kenya,New Zealand,69,72 for 0,New Zealand,10,wickets,with 252 balls remaining,ICC Cricket World Cup,2010/11,India
2011-02-20,Bangladesh/India/Sri Lanka,Hambantota,3rd Match,Sri Lanka,Canada,332 for 7,122,Sri Lanka,210,runs,,ICC Cricket World Cup,2010/11,India
2011-02-21,Bangladesh/India/Sri Lanka,Ahmedabad,4th Match,Australia,Zimbabwe,262 for 6,171,Australia,91,runs,,ICC Cricket World Cup,2010/11,India
2011-02-22,Bangladesh/India/Sri Lanka,Nagpur,5th Match,Netherlands,England,292 for 6,296 for 4,England,6,wickets,with 8 balls remaining,ICC Cricket World Cup,2010/11,India
2011-02-23,Bangladesh/India/Sri Lanka,Hambantota,6th Match,Pakistan,Kenya,317 for 7,112,Pakistan,205,runs,,ICC Cricket World Cup,2010/11,India
2011-02-24,Bangladesh/India/Sri Lanka,Delhi,7th Match,West Indies,South Africa,222,223 for 3,South Africa,7,wickets,with 43 balls remaining,ICC Cricket World Cup,2010/11,India
2011-02-25,Bangladesh/India/Sri Lanka,Nagpur,8th Match,New Zealand,Australia,206,207 for 3,Australia,7,wickets,with 96 balls remaining,ICC Cricket World Cup,2010/11,India
2011-02-25,Bangladesh/India/Sri Lanka,Mirpur,9th Match,Bangladesh,Ireland,205,178,Bangladesh,27,runs,,ICC Cricket World Cup,2010/11,India
2011-02-26,Bangladesh/India/Sri Lanka,Colombo (RPS),10th Match,Pakistan,Sri Lanka,277 for 7,266 for 9,Pakistan,11,runs,,ICC Cricket World Cup,2010/11,India
2011-02-27,Bangladesh/India/Sri Lanka,Bengaluru,11th Match,India,England,338,338 for 8,Match tied,Match tied,Match tied,,ICC Cricket World Cup,2010/11,India
2011-02-28,Bangladesh/India/Sri Lanka,Nagpur,12th Match,Zimbabwe,Canada,298 for 9,123,Zimbabwe,175,runs,,ICC Cricket World Cup,2010/11,India
2011-02-28,Bangladesh/India/Sri Lanka,Delhi,13th Match,West Indies,Netherlands,330 for 8,115,West Indies,215,runs,,ICC Cricket World Cup,2010/11,India
2011-03-01,Bangladesh/India/Sri Lanka,Colombo (RPS),14th Match,Kenya,Sri Lanka,142,146 for 1,Sri Lanka,9,wickets,with 188 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-02,Bangladesh/India/Sri Lanka,Bengaluru,15th Match,England,Ireland,327 for 8,329 for 7,Ireland,3,wickets,with 5 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-03,Bangladesh/India/Sri Lanka,Mohali,16th Match,South Africa,Netherlands,351 for 5,120,South Africa,231,runs,,ICC Cricket World Cup,2010/11,India
2011-03-03,Bangladesh/India/Sri Lanka,Colombo (RPS),17th Match,Pakistan,Canada,184,138,Pakistan,46,runs,,ICC Cricket World Cup,2010/11,India
2011-03-04,Bangladesh/India/Sri Lanka,Ahmedabad,18th Match,Zimbabwe,New Zealand,162,166 for 0,New Zealand,10,wickets,with 99 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-04,Bangladesh/India/Sri Lanka,Mirpur,19th Match,Bangladesh,West Indies,58,59 for 1,West Indies,9,wickets,with 226 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-05,Bangladesh/India/Sri Lanka,Colombo (RPS),20th Match,Sri Lanka,Australia,146 for 3,,No result,No result,No result,,ICC Cricket World Cup,2010/11,India
2011-03-06,Bangladesh/India/Sri Lanka,Chennai,21st Match,England,South Africa,171,165,England,6,runs,,ICC Cricket World Cup,2010/11,India
2011-03-06,Bangladesh/India/Sri Lanka,Bengaluru,22nd Match,Ireland,India,207,210 for 5,India,5,wickets,with 24 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-07,Bangladesh/India/Sri Lanka,Delhi,23rd Match,Kenya,Canada,198,199 for 5,Canada,5,wickets,with 27 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-08,Bangladesh/India/Sri Lanka,Pallekele,24th Match,New Zealand,Pakistan,302 for 7,192,New Zealand,110,runs,,ICC Cricket World Cup,2010/11,India
2011-03-09,Bangladesh/India/Sri Lanka,Delhi,25th Match,Netherlands,India,189,191 for 5,India,5,wickets,with 81 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-10,Bangladesh/India/Sri Lanka,Pallekele,26th Match,Sri Lanka,Zimbabwe,327 for 6,188,Sri Lanka,139,runs,,ICC Cricket World Cup,2010/11,India
2011-03-11,Bangladesh/India/Sri Lanka,Mohali,27th Match,West Indies,Ireland,275,231,West Indies,44,runs,,ICC Cricket World Cup,2010/11,India
2011-03-11,Bangladesh/India/Sri Lanka,Chattogram,28th Match,England,Bangladesh,225,227 for 8,Bangladesh,2,wickets,with 6 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-12,Bangladesh/India/Sri Lanka,Nagpur,29th Match,India,South Africa,296,300 for 7,South Africa,3,wickets,with 2 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-13,Bangladesh/India/Sri Lanka,Wankhede,30th Match,New Zealand,Canada,358 for 6,261 for 9,New Zealand,97,runs,,ICC Cricket World Cup,2010/11,India
2011-03-13,Bangladesh/India/Sri Lanka,Bengaluru,31st Match,Australia,Kenya,324 for 6,264 for 6,Australia,60,runs,,ICC Cricket World Cup,2010/11,India
2011-03-14,Bangladesh/India/Sri Lanka,Chattogram,32nd Match,Netherlands,Bangladesh,160,166 for 4,Bangladesh,6,wickets,with 52 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-14,Bangladesh/India/Sri Lanka,Pallekele,33rd Match,Zimbabwe,Pakistan,151 for 7,164 for 3,Pakistan,7,wickets,D/L method,ICC Cricket World Cup,2010/11,India
2011-03-15,Bangladesh/India/Sri Lanka,Eden Gardens,34th Match,South Africa,Ireland,272 for 7,141,South Africa,131,runs,,ICC Cricket World Cup,2010/11,India
2011-03-16,Bangladesh/India/Sri Lanka,Bengaluru,35th Match,Canada,Australia,211,212 for 3,Australia,7,wickets,with 91 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-17,Bangladesh/India/Sri Lanka,Chennai,36th Match,England,West Indies,243,225,England,18,runs,,ICC Cricket World Cup,2010/11,India
2011-03-18,Bangladesh/India/Sri Lanka,Eden Gardens,37th Match,Netherlands,Ireland,306,307 for 4,Ireland,6,wickets,with 14 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-18,Bangladesh/India/Sri Lanka,Wankhede,38th Match,Sri Lanka,New Zealand,265 for 9,153,Sri Lanka,112,runs,,ICC Cricket World Cup,2010/11,India
2011-03-19,Bangladesh/India/Sri Lanka,Mirpur,39th Match,South Africa,Bangladesh,284 for 8,78,South Africa,206,runs,,ICC Cricket World Cup,2010/11,India
2011-03-19,Bangladesh/India/Sri Lanka,Colombo (RPS),40th Match,Australia,Pakistan,176,178 for 6,Pakistan,4,wickets,with 54 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-20,Bangladesh/India/Sri Lanka,Eden Gardens,41st Match,Zimbabwe,Kenya,308 for 6,147,Zimbabwe,161,runs,,ICC Cricket World Cup,2010/11,India
2011-03-20,Bangladesh/India/Sri Lanka,Chennai,42nd Match,India,West Indies,268,188,India,80,runs,,ICC Cricket World Cup,2010/11,India
2011-03-23,Bangladesh/India/Sri Lanka,Mirpur,1st Quarter-Final (D/N),West Indies,Pakistan,112,113 for 0,Pakistan,10,wickets,with 175 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-24,Bangladesh/India/Sri Lanka,Ahmedabad,2nd Quarter-Final (D/N),Australia,India,260 for 6,261 for 5,India,5,wickets,with 14 balls remaining,ICC Cricket World Cup,2010/11,India
2003-02-09,Kenya/South Africa/Zimbabwe,Cape Town,1st Match (D/N),West Indies,South Africa,278 for 5,275 for 9,West Indies,3,runs,,ICC World Cup,2002/03,Australia
2011-03-25,Bangladesh/India/Sri Lanka,Mirpur,3rd Quarter-Final (D/N),New Zealand,South Africa,221 for 8,172,New Zealand,49,runs,,ICC Cricket World Cup,2010/11,India
2011-03-26,Bangladesh/India/Sri Lanka,Colombo (RPS),4th Quarter-Final (D/N),England,Sri Lanka,229 for 6,231 for 0,Sri Lanka,10,wickets,with 63 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-29,Bangladesh/India/Sri Lanka,Colombo (RPS),1st Semi-Final (D/N),New Zealand,Sri Lanka,217,220 for 5,Sri Lanka,5,wickets,with 13 balls remaining,ICC Cricket World Cup,2010/11,India
2011-03-30,Bangladesh/India/Sri Lanka,Mohali,2nd Semi-Final (D/N),India,Pakistan,260 for 9,231,India,29,runs,,ICC Cricket World Cup,2010/11,India
2011-04-02,Bangladesh/India/Sri Lanka,Wankhede,Final (D/N),Sri Lanka,India,274 for 6,277 for 4,India,6,wickets,with 10 balls remaining,ICC Cricket World Cup,2010/11,India
2003-02-10,Kenya/South Africa/Zimbabwe,Harare,2nd Match,Zimbabwe,Namibia,340 for 2,104 for 5,Zimbabwe,86,runs,D/L method,ICC World Cup,2002/03,Australia
2003-02-10,Kenya/South Africa/Zimbabwe,Bloemfontein,3rd Match,Sri Lanka,New Zealand,272 for 7,225,Sri Lanka,47,runs,,ICC World Cup,2002/03,Australia
2003-02-11,Kenya/South Africa/Zimbabwe,Johannesburg,4th Match,Australia,Pakistan,310 for 8,228,Australia,82,runs,,ICC World Cup,2002/03,Australia
2003-02-11,Kenya/South Africa/Zimbabwe,Durban,5th Match (D/N),Canada,Bangladesh,180,120,Canada,60,runs,,ICC World Cup,2002/03,Australia
2003-02-12,Kenya/South Africa/Zimbabwe,Potchefstroom,6th Match,Kenya,South Africa,140,142 for 0,South Africa,10,wickets,with 172 balls remaining,ICC World Cup,2002/03,Australia
2003-02-12,Kenya/South Africa/Zimbabwe,Paarl,7th Match,India,Netherlands,204,136,India,68,runs,,ICC World Cup,2002/03,Australia
2003-02-13,Kenya/South Africa/Zimbabwe,Harare,8th Match,Zimbabwe,England,,,Zimbabwe,Zimbabwe,won,walkover without a ball bowled,ICC World Cup,2002/03,Australia
2003-02-13,Kenya/South Africa/Zimbabwe,Gqeberha,9th Match,New Zealand,West Indies,241 for 7,221,New Zealand,20,runs,,ICC World Cup,2002/03,Australia
2003-02-14,Kenya/South Africa/Zimbabwe,Pietermaritzburg,10th Match,Bangladesh,Sri Lanka,124,126 for 0,Sri Lanka,10,wickets,with 173 balls remaining,ICC World Cup,2002/03,Australia
2003-02-15,Kenya/South Africa/Zimbabwe,Centurion,11th Match,India,Australia,125,128 for 1,Australia,9,wickets,with 166 balls remaining,ICC World Cup,2002/03,Australia
2003-02-15,Kenya/South Africa/Zimbabwe,Cape Town,12th Match (D/N),Canada,Kenya,197,198 for 6,Kenya,4,wickets,with 9 balls remaining,ICC World Cup,2002/03,Australia
2003-02-16,Kenya/South Africa/Zimbabwe,East London,13th Match,Netherlands,England,142 for 9,144 for 4,England,6,wickets,with 160 balls remaining,ICC World Cup,2002/03,Australia
2003-02-16,Kenya/South Africa/Zimbabwe,Kimberley,14th Match,Pakistan,Namibia,255 for 9,84,Pakistan,171,runs,,ICC World Cup,2002/03,Australia
2003-02-16,Kenya/South Africa/Zimbabwe,Johannesburg,15th Match,South Africa,New Zealand,306 for 6,229 for 1,New Zealand,9,wickets,D/L method,ICC World Cup,2002/03,Australia
2003-02-18,Kenya/South Africa/Zimbabwe,Benoni,16th Match,West Indies,Bangladesh,244 for 9,32 for 2,No result,No result,No result,,ICC World Cup,2002/03,Australia
2003-02-19,Kenya/South Africa/Zimbabwe,Harare,17th Match,India,Zimbabwe,255 for 7,172,India,83,runs,,ICC World Cup,2002/03,Australia
